date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2001-01-15,Blue Nile,Damazin,Damazin,11.7891,34.3592,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,46.0,17.7606
2001-01-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,51.67,19.9498
2001-01-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,77.29,29.8417
2001-01-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,63.9,24.6718
2001-01-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,81.5,31.4672
2001-01-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,66.25,25.5792
2001-01-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,52.5,20.2703
2001-02-15,Blue Nile,Damazin,Damazin,11.7891,34.3592,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,46.0,17.7606
2001-02-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,46.29,17.8726
2001-02-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,82.36,31.7992
2001-02-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,59.07,22.8069
2001-02-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,82.36,31.7992
2001-02-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,66.0,25.4826
2001-02-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,48.14,18.5869
2001-03-15,Blue Nile,Damazin,Damazin,11.7891,34.3592,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,45.0,17.3745
2001-03-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,48.98,18.9112
2001-03-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,73.22,28.2703
2001-03-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,58.0,22.3938
2001-03-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,63.25,24.4208
2001-03-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,68.0,26.2548
2001-03-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,54.25,20.9459
2001-04-15,Blue Nile,Damazin,Damazin,11.7891,34.3592,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,49.0,19.0421
2001-04-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,48.23,18.7428
2001-04-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,73.24,28.4621
2001-04-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,56.77,22.0616
2001-04-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,43.02,16.7182
2001-04-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,70.5,27.3973
2001-04-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,55.5,21.5681
2001-05-15,Blue Nile,Damazin,Damazin,11.7891,34.3592,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,47.33,18.2741
2001-05-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,47.49,18.3359
2001-05-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,73.69,28.4517
2001-05-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,55.15,21.2934
2001-05-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,56.22,21.7066
2001-05-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,71.0,27.4131
2001-05-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,51.5,19.8842
2001-06-15,Blue Nile,Damazin,Damazin,11.7891,34.3592,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,47.22,18.2317
2001-06-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,42.75,16.5058
2001-06-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,61.76,23.8456
2001-06-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,50.25,19.4015
2001-06-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,56.05,21.6409
2001-06-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,71.0,27.4131
2001-06-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,52.0,20.0772
2001-07-15,Blue Nile,Damazin,Damazin,11.7891,34.3592,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,50.56,19.6426
2001-07-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,56.26,21.857
2001-07-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,47.6,18.4926
2001-07-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,74.68,29.0132
2001-07-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,54.9,21.3287
2001-07-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,63.33,24.6037
2001-07-15,North Darfur,El Fasher,Al Fashir,13.633333,25.35,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,62.19,24.1608
2001-07-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,70.83,27.5175
2001-07-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,53.1,20.6294
2001-07-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,62.19,24.1608
2001-07-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,55.56,21.5851
2001-08-15,Blue Nile,Damazin,Damazin,11.7891,34.3592,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,51.54,19.8996
2001-08-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,58.75,22.6834
2001-08-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,48.67,18.7915
2001-08-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,76.23,29.4324
2001-08-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,55.3,21.3514
2001-08-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,66.2,25.5598
2001-08-15,North Darfur,El Fasher,Al Fashir,13.633333,25.35,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,62.89,24.2819
2001-08-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,72.6,28.0309
2001-08-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,55.17,21.3012
2001-08-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,62.89,24.2819
2001-08-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,61.89,23.8958
2001-09-15,Blue Nile,Damazin,Damazin,11.7891,34.3592,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,41.79,16.1782
2001-09-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,45.83,17.7422
2001-09-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,34.81,13.4761
2001-09-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,73.83,28.5819
2001-09-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,46.61,18.0442
2001-09-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,64.61,25.0126
2001-09-15,North Darfur,El Fasher,Al Fashir,13.633333,25.35,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,55.0,21.2922
2001-09-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,71.84,27.8115
2001-09-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,49.59,19.1979
2001-09-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,55.0,21.2922
2001-09-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,55.0,21.2922
2001-10-15,Blue Nile,Damazin,Damazin,11.7891,34.3592,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,36.11,13.9421
2001-10-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,42.65,16.4672
2001-10-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,30.75,11.8726
2001-10-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,63.6,24.556
2001-10-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,38.08,14.7027
2001-10-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,64.5,24.9035
2001-10-15,North Darfur,El Fasher,Al Fashir,13.633333,25.35,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,50.0,19.305
2001-10-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,56.89,21.9653
2001-10-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,41.39,15.9807
2001-10-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,50.0,19.305
2001-10-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,50.5,19.4981
2001-11-15,Blue Nile,Damazin,Damazin,11.7891,34.3592,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,30.75,11.8726
2001-11-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,40.25,15.5405
2001-11-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,31.5,12.1622
2001-11-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,57.16,22.0695
2001-11-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,36.28,14.0077
2001-11-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,62.0,23.9382
2001-11-15,North Darfur,El Fasher,Al Fashir,13.633333,25.35,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,50.0,19.305
2001-11-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,56.28,21.7297
2001-11-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,39.05,15.0772
2001-11-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,50.0,19.305
2001-11-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,55.33,21.3629
2001-12-15,Blue Nile,Damazin,Damazin,11.7891,34.3592,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,26.33,10.061
2001-12-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,36.7,14.0235
2001-12-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,30.46,11.6391
2001-12-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,52.5,20.0609
2001-12-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,36.97,14.1267
2001-12-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,59.11,22.5866
2001-12-15,North Darfur,El Fasher,Al Fashir,13.633333,25.35,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,49.66,18.9757
2001-12-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,42.78,16.3467
2001-12-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,31.65,12.0938
2001-12-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,49.66,18.9757
2001-12-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,58.0,22.1625
2002-01-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,33.14,12.7954
2002-01-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,29.48,11.3822
2002-01-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,48.8,18.8417
2002-01-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,33.75,13.0309
2002-01-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,56.94,21.9846
2002-01-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,44.66,17.2432
2002-01-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,30.39,11.7336
2002-01-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,54.5,21.0425
2002-02-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,35.83,13.834
2002-02-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,28.06,10.834
2002-02-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,45.34,17.5058
2002-02-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,33.34,12.8726
2002-02-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,59.02,22.7876
2002-02-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,48.72,18.8108
2002-02-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,29.19,11.2703
2002-02-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,55.0,21.2355
2002-03-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,34.62,13.3668
2002-03-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,23.12,8.9266
2002-03-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,58.5,22.5869
2002-03-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,33.84,13.0656
2002-03-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,59.25,22.8764
2002-03-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,46.17,17.8263
2002-03-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,28.83,11.1313
2002-03-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,54.25,20.9459
2002-04-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,34.94,13.4903
2002-04-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,23.68,9.1429
2002-04-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,50.76,19.5985
2002-04-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,31.5,12.1622
2002-04-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,51.67,19.9498
2002-04-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,60.0,23.166
2002-05-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,36.06,13.9228
2002-05-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,24.75,9.556
2002-05-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,47.34,18.278
2002-05-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,31.45,12.1429
2002-05-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,49.39,19.0695
2002-06-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,36.62,13.7877
2002-06-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,24.75,9.3185
2002-06-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,48.63,18.3095
2002-06-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,31.59,11.8938
2002-06-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,48.5,18.2605
2002-06-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,46.0,17.3193
2002-07-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,45.75,17.6641
2002-07-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,28.25,10.9073
2002-07-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,52.67,20.3359
2002-07-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,32.5,12.5483
2002-07-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,52.83,20.3977
2002-07-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,54.0,20.8494
2002-07-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,32.0,12.3552
2002-07-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,45.0,17.3745
2002-08-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,40.85,15.7722
2002-08-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,26.5,10.2317
2002-08-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,55.0,21.2355
2002-08-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,33.5,12.9344
2002-08-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,57.0,22.0077
2002-08-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,53.0,20.4633
2002-08-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,32.7,12.6255
2002-08-15,Northern,Dongola,Dongola,19.17,30.47,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,45.0,17.3745
2002-09-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,39.68,14.9792
2002-09-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,23.5,8.8713
2002-09-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,54.5,20.5738
2002-09-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,33.5,12.6463
2002-09-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,58.5,22.0838
2002-09-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,49.25,18.5919
2002-09-15,North Kordofan,Shiekan,El Obeid,13.18831,30.2185799999999,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,30.0,11.325
2002-10-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,44.73,17.2703
2002-10-15,Gedaref,Al Gedaref Rural,El Gedarif,14.04,35.38,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,28.5,11.0039
2002-10-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Millet,90 KG,actual,Wholesale,SDG,56.5,21.8147
2002-10-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Sorghum (white),90 KG,actual,Wholesale,SDG,34.0,13.1274
2002-10-15,Khartoum,Jebal Aulya,Khartoum,15.5126,32.5436,cereals and tubers,Wheat,90 KG,actual,Wholesale,SDG,61.0,23.5521
